accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz

0.40,-3.06,9.59,-13.38,-5.06,-143.56,13.56,8.75,-98.00
0.32,-2.18,9.81,-11.00,24.37,-52.88,6.88,14.69,-93.75
-0.56,-0.94,10.30,-9.69,12.75,-40.19,7.56,19.37,-73.56
-0.96,-2.34,9.93,12.13,21.12,-6.31,13.25,19.06,-62.00
-0.80,-1.03,8.32,-12.75,-4.94,13.75,20.75,11.88,-53.75
-0.78,-0.10,8.28,-4.88,-19.94,31.19,24.06,9.25,-47.56
-0.03,0.08,9.16,0.88,-8.00,18.44,24.37,6.56,-47.69
0.09,-0.11,9.10,19.31,-20.00,12.88,24.25,4.00,-46.25
0.25,-1.04,6.97,9.94,13.31,4.94,23.50,3.19,-47.06
0.44,-0.03,10.53,-16.31,-0.88,2.69,21.56,1.69,-46.56
0.26,-1.07,8.34,12.75,23.62,8.88,19.69,2.75,-46.56
-0.13,-0.36,9.42,3.56,-12.44,10.06,21.50,1.00,-47.75
1.07,0.09,9.26,67.69,-13.19,0.50,20.25,-0.50,-48.19
0.49,0.46,9.73,38.94,0.19,7.81,20.00,-3.56,-48.19
0.10,1.17,9.44,43.19,11.19,1.00,21.06,-8.75,-48.19
0.15,2.13,9.06,59.94,4.19,13.81,22.56,-12.19,-46.38
0.25,2.92,9.02,38.19,-5.44,4.94,22.19,-16.56,-45.19
0.19,3.11,8.46,14.19,3.13,1.63,23.00,-19.56,-45.88
0.11,3.65,8.46,25.19,7.25,4.38,23.00,-22.19,-45.19
0.10,4.06,8.46,37.50,0.44,3.56,23.00,-23.00,-42.75
0.00,4.39,8.09,41.06,2.63,2.88,23.25,-26.69,-41.19
-0.01,5.03,7.51,43.25,-1.12,1.81,24.75,-29.25,-38.88
0.03,5.53,7.11,30.94,0.88,-3.44,24.06,-31.87,-36.50
-0.02,6.00,7.02,32.63,2.19,0.25,24.50,-33.38,-38.06
-0.19,6.13,6.58,33.06,5.19,-1.94,24.75,-35.25,-35.69
-0.17,6.77,6.31,37.44,1.56,-2.81,24.50,-37.06,-32.56
-0.20,6.93,5.11,51.75,1.12,2.25,24.75,-39.00,-30.25
-0.17,7.73,4.57,49.31,0.50,4.25,24.06,-42.75,-27.00
-0.05,8.30,3.73,49.06,-1.88,4.06,24.75,-43.00,-23.06
-0.15,8.32,2.64,61.63,-1.25,-3.13,24.06,-47.88,-17.19
-0.15,8.81,1.79,53.75,0.94,-0.63,23.69,-49.00,-12.06
-0.06,8.91,1.07,7.75,4.50,2.56,23.69,-49.69,-7.75
0.10,8.81,1.74,-49.38,1.88,1.75,23.69,-48.88,-7.69
-0.03,7.92,2.33,-82.75,-12.19,-11.50,24.50,-48.56,-12.75
0.04,7.89,3.87,-73.62,-3.56,-1.00,23.69,-47.06,-19.50
-0.19,7.12,4.85,-60.94,0.63,2.69,23.69,-44.06,-24.19
-0.17,6.37,5.80,-67.12,-1.12,1.37,23.69,-40.25,-28.87
-0.10,5.68,6.79,-62.81,-3.31,2.56,24.06,-38.06,-33.25
0.15,5.01,7.95,-72.06,-2.00,-0.69,23.25,-31.19,-39.56
0.03,3.98,8.38,-66.94,5.31,0.94,23.00,-25.56,-42.69
-0.08,2.74,9.14,-58.75,7.06,1.12,23.69,-20.69,-45.06
-0.05,1.54,8.81,-77.00,-5.50,1.25,23.69,-15.38,-46.25
0.25,-0.06,9.62,-114.19,-7.06,2.25,23.25,-9.00,-49.38
0.09,-1.81,9.60,-99.37,10.19,7.31,22.56,0.37,-49.38
0.16,-3.21,9.54,-70.50,-8.19,9.75,23.00,7.88,-47.75
-0.05,-4.17,8.76,-63.25,17.12,3.56,22.19,13.19,-46.38
0.18,-5.66,8.45,-68.87,-2.56,3.94,22.56,17.69,-43.56
0.12,-6.34,8.06,-60.88,-5.06,12.50,21.75,26.00,-39.69
0.38,-7.39,7.65,-54.81,-11.94,2.38,22.19,29.50,-37.38
-0.15,-8.36,5.92,-58.75,-4.94,11.75,22.19,34.38,-33.38
0.36,-8.55,5.84,-39.06,3.63,5.44,23.00,36.56,-30.56
0.11,-9.23,4.98,-60.56,5.38,8.88,23.00,38.88,-27.56
-0.01,-9.92,4.46,-109.69,-31.81,13.06,24.50,40.75,-22.87
-0.42,-10.25,2.03,-84.00,-7.75,5.94,23.25,45.56,-16.56
-0.45,-10.47,0.93,-77.31,-5.44,6.13,24.06,46.38,-11.00
-0.25,-10.34,-0.09,-62.06,-10.00,7.75,25.56,47.88,-5.56
-0.34,-10.37,-1.14,-53.56,-3.56,2.75,25.19,47.06,0.56
-0.39,-10.24,-1.84,-16.62,-4.00,-0.06,25.06,47.50,5.38
-0.11,-10.09,-1.64,8.50,0.37,-1.69,25.06,47.50,5.75
-0.23,-10.06,-1.57,0.31,1.44,0.37,24.69,47.50,5.38
-0.57,-10.60,-1.37,36.13,-2.81,0.88,24.69,47.06,5.00
-0.49,-10.50,-0.40,62.31,-3.00,5.69,24.69,47.50,1.06
-0.52,-10.63,0.57,50.00,-1.69,-0.06,25.50,47.50,-4.38
-0.33,-9.88,1.38,64.06,3.31,-3.19,24.69,46.75,-8.38
-0.31,-9.98,2.56,55.38,4.25,-3.31,25.50,46.06,-13.06
-0.20,-9.76,3.57,68.19,9.75,-2.81,25.50,43.50,-18.56
-0.28,-9.47,4.44,67.44,9.06,-7.75,24.69,42.38,-23.69
-0.46,-8.70,5.48,64.37,10.44,-3.06,24.37,38.56,-26.87
-0.50,-7.69,6.45,86.25,8.25,-8.06,24.37,35.56,-31.56
-0.17,-6.69,7.40,88.62,-0.44,-5.69,25.06,31.19,-36.38
-0.53,-6.26,7.96,68.94,-4.00,-6.19,24.37,25.56,-39.56
0.25,-4.05,9.05,133.06,-39.75,-11.94,24.37,20.25,-43.50
0.70,-2.15,9.76,118.00,-51.44,-1.31,21.37,12.06,-48.25
1.89,-1.78,9.66,26.69,-56.13,1.12,19.06,3.75,-51.00
2.33,-1.18,9.46,14.56,-34.69,12.94,12.00,1.19,-52.56
2.89,-0.82,8.25,1.12,-32.81,-13.69,9.38,0.06,-52.06
3.60,-0.68,9.29,14.69,-58.31,6.81,5.56,0.06,-53.69
4.05,-0.66,8.07,-0.37,-53.00,3.81,0.69,-1.00,-55.19
5.13,0.03,7.38,-2.19,-31.19,14.69,-5.56,0.50,-52.06
6.09,-0.95,7.42,-8.06,-56.00,10.69,-9.69,0.50,-53.19
6.37,-0.59,6.50,10.25,-64.25,7.63,-15.25,2.25,-53.69
7.34,-0.88,5.64,-8.13,-74.87,18.94,-21.56,2.56,-51.75
8.09,-1.67,4.97,6.88,-86.37,0.63,-30.19,4.88,-47.00
8.12,-2.18,2.19,19.94,-47.69,-5.69,-41.50,7.50,-38.00
8.73,-1.59,1.83,15.31,-49.44,-5.56,-45.69,7.06,-31.00
9.14,-1.06,2.43,14.44,-30.69,11.44,-49.00,5.56,-24.06
9.33,-0.99,2.80,8.69,-16.00,0.94,-48.50,5.19,-23.00
9.25,-1.02,2.04,3.63,6.38,-2.38,-48.19,4.88,-23.00
9.38,-0.53,2.75,1.88,9.88,3.94,-49.38,4.50,-24.50
9.08,-0.90,3.11,-5.38,39.75,-7.69,-49.00,4.88,-26.50
8.61,-0.68,4.13,9.25,64.25,-25.44,-47.88,4.50,-32.00
9.08,-0.25,5.22,-9.81,87.25,-6.69,-45.69,3.38,-38.56
7.59,-0.58,6.50,-21.37,98.12,-13.75,-32.69,3.00,-50.00
6.18,-0.58,6.89,-11.75,95.37,2.63,-21.75,1.06,-54.25
4.24,-1.81,6.91,-6.69,82.00,9.44,-11.38,0.56,-56.88
4.05,-0.77,9.78,14.38,67.31,-37.63,-2.88,-0.88,-56.56
1.85,-0.07,7.45,-5.94,63.00,1.00,4.19,-2.69,-57.56
1.19,-0.50,8.83,-11.88,97.19,-9.31,11.69,-4.19,-54.50
-0.51,-1.04,9.37,-16.12,99.12,-11.94,21.56,-2.38,-52.25
-3.00,-0.76,9.44,14.69,103.25,-6.06,28.25,-2.00,-48.06
-4.30,-0.59,8.77,10.50,59.25,-10.63,35.88,-3.50,-41.69
-5.16,-0.55,8.16,12.56,33.38,3.88,42.75,-4.19,-35.00
-5.44,0.01,8.13,11.19,26.00,9.50,43.88,-5.38,-33.38
